transaction_id,transaction_date,cardholder_name,card_number,card_type,merchant_name,merchant_category,merchant_state,merchant_city,transaction_status,transaction_amount,merchant_category_code,fraud_flag
RWYHDO-3GGJ-C6O515,2020-01-26 19:42:00,Michael Reeves,2294962353648068,mastercard,Texas Roadhouse,Casual Dining,Michigan,Grand Rapids,Successful,0.3559498473860285,MCC 5812,0
Z89V2U-I424-IFSZV7,2019-04-02 08:43:00,Ronnie Campbell,2405289794587515,mastercard,Applebee's,Casual Dining,Kansas,Overland Park,Pending,15.20610703266198,MCC 5812,0
K0TE6E-DOI6-QFYN7V,2021-02-08 07:15:00,Stephanie Jones,377983560222319,amex,Wendy's,Fast Food,Maine,Portland,Pending,13.244500009176196,MCC 5814,0
CSUA5F-W9JY-7I76NR,2020-03-25 20:23:00,Julie Thompson,5146762679142298,mastercard,Carrabba's Italian Grill,Casual Dining,New Hampshire,Manchester,Successful,214.3161479343628,MCC 5812,1
LF78UN-TIDZ-0MEJT8,2019-05-21 15:12:00,Jennifer Guerrero,6533450566540076,discover,Red Robin,Casual Dining,Kentucky,Lexington,Successful,10.536343730005637,MCC 5812,0
SWNT30-F55W-ZT4A0H,2021-11-24 20:29:00,Eric Sutton,2247170444733448,mastercard,Yard House,Casual Dining,Vermont,Burlington,Successful,10.417359185234218,MCC 5812,0
O40T84-HBD6-VN75EX,2023-04-13 12:23:00,Kristopher Chambers,377703960538852,amex,Red Lobster,Casual Dining,Michigan,Detroit,Pending,26.08270676572266,MCC 5812,0
P4J1RL-NE2H-2XFMQJ,2022-02-17 15:57:00,Kimberly Parker,2480795649167046,mastercard,Olive Garden,Casual Dining,Washington,Seattle,Successful,19.038275024932855,MCC 5812,0
UGH5VW-TAAP-BOJKM7,2018-10-17 06:32:00,Angela Davis,6011701658635039,discover,Daniel,Fine Dining,Washington,Spokane,Declined,50.20394864849713,MCC 5812,1
G3OGLQ-8OFA-ACU1ML,2021-06-01 22:31:00,Stephanie Woods,2287403672575251,mastercard,Canlis,Fine Dining,Oklahoma,Tulsa,Pending,30.3671411120494,MCC 5812,0
J5I4ZN-QX5D-KHFY43,2022-06-21 21:06:00,Christine Sosa,6011524362785084,discover,In-N-Out Burger,Fast Food,South Dakota,Rapid City,Pending,15.301245625656946,MCC 5814,0
9XA3X3-CL3Y-WS77EY,2018-03-31 16:16:00,Juan Perry,2571106103671400,mastercard,Daniel,Fine Dining,Connecticut,Bridgeport,Pending,15.481539626762617,MCC 5812,0
Y8L3SW-127E-KGD999,2022-02-17 19:40:00,Charles Ramsey,5476418674214315,mastercard,Per Se,Fine Dining,New Hampshire,Nashua,Successful,2023.802273353407,MCC 5812,1
HRX1S3-2NXI-QMTEOW,2019-01-16 14:54:00,Tamara Cook,5138001713757807,mastercard,Chipotle,Fast Food,Indiana,Fort Wayne,Pending,11.92147253061644,MCC 5814,0
SVAL2H-8CW5-CV4OZN,2018-03-05 22:55:00,Regina Barry,346187493415549,amex,Wendy's,Fast Food,California,San Diego,Successful,9.468,MCC 5814,1
ONFV4F-VO3C-NLJQWR,2019-09-01 21:19:00,Thomas Aguilar DDS,348304886791000,amex,Bahama Breeze,Casual Dining,California,Los Angeles,Declined,29.016,MCC 5812,0
DCRWK4-TYPB-J9RLZT,2019-02-11 21:04:00,Pamela Grant,4550959521850472,visa,Arby's,Fast Food,Ohio,Cleveland,Declined,22.24809267103487,MCC 5814,0
AR9V1D-FWAA-CPRYXB,2020-10-19 09:29:00,Patricia Beltran,4235567298802460,visa,Subway,Fast Food,Illinois,Chicago,Successful,17.756157511294894,MCC 5814,0
ZR9FTW-D8M5-XTSJVM,2021-06-10 22:20:00,Vincent Cabrera,6011498635924319,discover,Eleven Madison Park,Fine Dining,Nevada,Las Vegas,Declined,406.5608091914816,MCC 5812,1
1AFUX0-0777-RDUF6K,2023-02-05 19:28:00,Jessica Boone,4247093217467141,visa,Applebee's,Casual Dining,Illinois,Aurora,Successful,43.48823202735864,MCC 5812,0
X2TDVS-CZ02-U1KVHU,2023-08-28 15:40:00,Maria Nunez,6543722718101991,discover,Eleven Madison Park,Fine Dining,Michigan,Grand Rapids,Declined,221.03623535862465,MCC 5812,1
